No,Title,ISSN,E-ISSN,CATEGORY,Publisher,Address,Nation
7781433,ANNALES DE BIOLOGIE CLINIQUE,0003-3898,1950-6112,"Medical Laboratory Technology ; Medicine, Research & Experimental",JOHN LIBBEY EUROTEXT LTD,"30, RUE BERTHOLLET, BATIMENT A, ARCUEIL, France, ?, 94110",FRANCE
7781434,ANNALES DE CHIRURGIE PLASTIQUE ESTHETIQUE,0294-1260,1768-319X,Surgery,ELSEVIER,"685 ROUTE 202-206, BRIDGEWATER, USA, NJ, 08807",USA
7781435,ANNALES DE DERMATOLOGIE ET DE VENEREOLOGIE,0151-9638,2214-5451,Dermatology,MASSON EDITEUR,"21 STREET CAMILLE DESMOULINS, ISSY, MOULINEAUX CEDEX 9, FRANCE, 92789",FRANCE
7781436,ANNALES DE LA SOCIETE ENTOMOLOGIQUE DE FRANCE,0037-9271,2168-6351,Entomology,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",FRANCE
7781437,ANNALES DE L INSTITUT FOURIER,0373-0956,1777-5310,Mathematics,ANNALES INST FOURIER,"INST MATHEMATIQUES PURES BOITE POSTALE 116, ST MARTIN D HERES CEDEX, FRANCE, 38402",FRANCE
7781438,ANNALES DE L INSTITUT HENRI POINCARE-ANALYSE NON LINEAIRE,0294-1449,1873-1430,"Mathematics, Applied",EUROPEAN MATHEMATICAL SOC-EMS,"PUBLISHING HOUSE GMBH INST MATHEMATIK TECHNISCHE UNIV BERLIN STRASSE 17, JUNI 136, BERLIN, Germany, 10623",NETHERLANDS
7781439,ANNALES DE L INSTITUT HENRI POINCARE-PROBABILITES ET STATISTIQUES,0246-0203,1778-7017,Statistics & Probability,INST MATHEMATICAL STATISTICS-IMS,"3163 SOMERSET DR, CLEVELAND, Usa, OH, 44122",USA
7781440,ANNALES D ENDOCRINOLOGIE,0003-4266,2213-3941,Endocrinology & Metabolism,MASSON EDITEUR,"21 STREET CAMILLE DESMOULINS, ISSY, MOULINEAUX CEDEX 9, FRANCE, 92789",FRANCE
7781441,ANNALES DE PALEONTOLOGIE,0753-3969,1778-3666,Paleontology,MASSON EDITEUR,"21 STREET CAMILLE DESMOULINS, ISSY, MOULINEAUX CEDEX 9, FRANCE, 92789",FRANCE
7781442,ANNALES DE PATHOLOGIE,0242-6498,2213-008X,Pathology,MASSON EDITEUR,"21 STREET CAMILLE DESMOULINS, ISSY, MOULINEAUX CEDEX 9, FRANCE, 92789",FRANCE
7781443,ANNALES FENNICI MATHEMATICI,2737-0690,2737-114X,Mathematics,SUOMALAINEN TIEDEAKATEMIA,"MARIANKATU 5, HELSINKI, FINLAND, 00170",FINLAND
7781444,ANNALES GEOPHYSICAE,0992-7689,1432-0576,"Astronomy & Astrophysics ; Geosciences, Multidisciplinary ; Meteorology & Atmospheric Sciences",COPERNICUS GESELLSCHAFT MBH,"BAHNHOFSALLEE 1E, GOTTINGEN, GERMANY, 37081",GERMANY
7781445,ANNALES HENRI POINCARE,1424-0637,1424-0661,"Physics, Multidisciplinary ; Physics, Particles & Fields ; Physics, Mathematical",SPRINGER INT PUBL AG,"GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330",SWITZERLAND
7781446,ANNALES MEDICO-PSYCHOLOGIQUES,0003-4487,1769-6631,Psychiatry ; Psychology,MASSON EDITEUR,"21 STREET CAMILLE DESMOULINS, ISSY, MOULINEAUX CEDEX 9, FRANCE, 92789",FRANCE
7781447,ANNALES POLONICI MATHEMATICI,0066-2216,1730-6272,Mathematics,POLISH ACAD SCIENCES INST MATHEMATICS-IMPAN,"8 SNIADECKICH ST, WARSZAWA, POLAND, PL 00 656",POLAND
7781448,ANNALES SCIENTIFIQUES DE L ECOLE NORMALE SUPERIEURE,0012-9593,1873-2151,Mathematics,SOC MATHEMATIQUE FRANCE,"IPH 11 RUE PIERRE MARIE CURIE, PARIS, FRANCE, F 75231",FRANCE
7781449,ANNALES SOCIETATIS GEOLOGORUM POLONIAE,0208-9068,0208-9068,Geology,POLISH GEOLOGICAL SOC,"UL. OLEANDRY 2A, KRAKOW, POLAND, 30-063",POLAND
7781450,ANNALES ZOOLOGICI,0003-4541,1734-1833,Entomology,MUSEUM & INST ZOOLOGY PAS-POLISH ACAD SCIENCES,"WILCZA STREET 64, WARSAW, POLAND, 00-679",POLAND
7781451,ANNALES ZOOLOGICI FENNICI,0003-455X,1797-2450,Ecology ; Zoology,FINNISH ZOOLOGICAL BOTANICAL PUBLISHING BOARD,"P O BOX 26, UNIV HELSINKI, FINLAND, FI-00014",FINLAND
7781452,ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA-CLASSE DI SCIENZE,0391-173X,2036-2145,Mathematics,SCUOLA NORMALE SUPERIORE,"PIAZZA DEI CAVALIERI, 7, PISA, ITALY, 56126",ITALY
7781453,ANNALI DELL ISTITUTO SUPERIORE DI SANITA,0021-2571,2384-8553,"Public, Environmental & Occupational Health",ISTITUTO SUPERIORE SANITA,"Viale Regina Elena 299, ROME, Italy, 00161",ITALY
7781454,ANNALI DI BOTANICA,0365-0812,2239-3129,Plant Sciences ; Environmental Sciences,UNIV STUDI ROMA LA SAPIENZA,"PIAZZALE ALDO MORO, 5, ROME, ITALY, I-00185",ITALY
7781455,ANNALI DI MATEMATICA PURA ED APPLICATA,0373-3114,1618-1891,"Mathematics, Applied ; Mathematics",SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",GERMANY
7781456,ANNALI ITALIANI DI CHIRURGIA,0003-469X,2239-253X,Surgery,EDIZIONI LUIGI POZZI,"VIA PANAMA 68, ROME, ITALY, 00198",ITALY
7781457,ANNALS ACADEMY OF MEDICINE SINGAPORE,,2972-4066,"Medicine, General & Internal",ACAD MEDICINE SINGAPORE,"142 NEIL RD, REPUBLIC SINGAPORE, SINGAPORE, 088871",SINGAPORE
7781458,ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE,1232-1966,1898-2263,"Environmental Sciences ; Public, Environmental & Occupational Health","INST RURAL HEALTH LUBLIN, POLAND","JACZEWSKIEGO 2, PO BOX 185, LUBLIN, POLAND, 20-950",POLAND
7781459,ANNALS OF AGRICULTURAL SCIENCES,0570-1783,2090-8377,"Agriculture, Multidisciplinary",ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",EGYPT
7781460,ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY,1081-1206,1534-4436,Allergy ; Immunology,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",USA
7781461,ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER,0940-9602,1618-0402,Anatomy & Morphology,ELSEVIER GMBH,"HACKERBRUCKE 6, MUNICH, GERMANY, 80335",GERMANY
7781462,ANNALS OF ANIMAL SCIENCE,1642-3402,2300-8733,"Agriculture, Dairy & Animal Science",WALTER DE GRUYTER GMBH,"GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",POLAND
7781463,ANNALS OF APPLIED BIOLOGY,0003-4746,1744-7348,"Agriculture, Multidisciplinary",WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7781464,ANNALS OF APPLIED PROBABILITY,1050-5164,,Statistics & Probability,INST MATHEMATICAL STATISTICS-IMS,"3163 SOMERSET DR, CLEVELAND, Usa, OH, 44122",USA
7781465,ANNALS OF APPLIED STATISTICS,1932-6157,1941-7330,Statistics & Probability,INST MATHEMATICAL STATISTICS-IMS,"3163 SOMERSET DR, CLEVELAND, Usa, OH, 44122",USA
7781466,ANNALS OF BIOMEDICAL ENGINEERING,0090-6964,1573-9686,"Engineering, Biomedical",SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA
7781467,ANNALS OF BOTANY,0305-7364,1095-8290,Plant Sciences,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",ENGLAND
7781468,ANNALS OF CARDIOTHORACIC SURGERY,2225-319X,2304-1021,Cardiac & Cardiovascular System ; Surgery,AME PUBLISHING COMPANY,"FLAT-RM C 16F, KINGS WING PLAZA 1, NO 3 KWAN ST, SHATIN, PEOPLES R CHINA, HONG KONG, 00000",CHINA
7781469,ANNALS OF CARNEGIE MUSEUM,0097-4463,1943-6300,Paleontology ; Zoology,CARNEGIE MUSEUM NATURAL HISTORY,"4400 FORBES AVE, PITTSBURGH, USA, PA, 15213",USA
7781470,ANNALS OF CLINICAL AND LABORATORY SCIENCE,0091-7370,1550-8080,Medical Laboratory Technology,ASSOC CLINICAL SCIENTISTS,"PO BOX 1287, MIDDLEBURY, USA, VT, 05753",USA
7781471,ANNALS OF CLINICAL AND TRANSLATIONAL NEUROLOGY,2328-9503,2328-9503,Clinical Neurology ; Neurosciences,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7781472,ANNALS OF CLINICAL BIOCHEMISTRY,0004-5632,1758-1001,Medical Laboratory Technology,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",USA
7781473,ANNALS OF CLINICAL MICROBIOLOGY AND ANTIMICROBIALS,,1476-0711,Microbiology,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",ENGLAND
7781474,ANNALS OF CLINICAL PSYCHIATRY,1040-1237,1547-3325,Psychiatry,QUADRANT HEALTHCOM INC,"7 CENTURY DRIVE, STE 302, PARSIPPANY, USA, NJ, 07054-4603",USA
7781475,ANNALS OF COMBINATORICS,0218-0006,0219-3094,"Mathematics, Applied",SPRINGER BASEL AG,"PICASSOPLATZ 4, BASEL, SWITZERLAND, 4052",SWITZERLAND
7781476,ANNALS OF DERMATOLOGY,1013-9087,2005-3894,Dermatology,KOREAN DERMATOLOGICAL ASSOC,"305 SEOCHO NASAN, SUITE OFFICE 1330-16, SEOCHO-2-DONG, SEOCHO-GU, SEOUL, SOUTH KOREA, 137-858",SOUTH KOREA
7781477,ANNALS OF DIAGNOSTIC PATHOLOGY,1092-9134,1532-8198,Pathology,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",USA
7781478,ANNALS OF EMERGENCY MEDICINE,0196-0644,1097-6760,Emergency Medicine,MOSBY-ELSEVIER,"360 PARK AVENUE SOUTH, NEW YORK, USA, NY, 10010-1710",USA
7781479,ANNALS OF EPIDEMIOLOGY,1047-2797,1873-2585,"Public, Environmental & Occupational Health",ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",USA
7781480,ANNALS OF FAMILY MEDICINE,1544-1709,1544-1717,"Primary Health Care ; Medicine, General & Internal",ANNALS FAMILY MEDICINE,"11400 TOMAHAWK CREEK PARKWAY, LEAWOOD, USA, KS, 66211-2672",USA
7781481,ANNALS OF FOREST RESEARCH,1844-8135,2065-2445,Forestry,EDITURA SILVICA,"FOREST RESEARCH MANAGEMENT INSTITUTE ICAS, SOS STEFANESTI NR 128, VOLUNTARI, ROMANIA, ILFOV, 077190",ROMANIA
7781482,ANNALS OF FOREST SCIENCE,1286-4560,1297-966X,Forestry,SPRINGER FRANCE,"22 RUE DE PALESTRO, PARIS, FRANCE, 75002",FRANCE
7781483,ANNALS OF FUNCTIONAL ANALYSIS,2639-7390,2008-8752,"Mathematics, Applied ; Mathematics",SPRINGER BASEL AG,"PICASSOPLATZ 4, BASEL, SWITZERLAND, 4052",USA
7781484,ANNALS OF GASTROENTEROLOGICAL SURGERY,2475-0328,2475-0328,Gastroenterology & Hepatology,WILEY-V C H VERLAG GMBH,"POSTFACH 101161, WEINHEIM, GERMANY, 69451",GERMANY
7781485,ANNALS OF GENERAL PSYCHIATRY,,1744-859X,Psychiatry,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",ENGLAND
7781486,ANNALS OF GEOPHYSICS,1593-5213,2037-416X,Geochemistry & Geophysics,IST NAZIONALE DI GEOFISICA E VULCANOLOGIA,"VIA VIGNA MURATA 605, ROME, ITALY, 00143",ITALY
7781487,ANNALS OF GLACIOLOGY,0260-3055,1727-5644,"Geography, Physical ; Geosciences, Multidisciplinary",CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU",ENGLAND
7781488,ANNALS OF GLOBAL ANALYSIS AND GEOMETRY,0232-704X,1572-9060,Mathematics,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",NETHERLANDS
7781489,ANNALS OF GLOBAL HEALTH,2214-9996,2214-9996,"Public, Environmental & Occupational Health",UBIQUITY PRESS LTD,"Unit 3.22, East London Works, 65-75 Whitechapel Road, LONDON, England, E1 1DU",ENGLAND
7781490,ANNALS OF HEMATOLOGY,0939-5555,1432-0584,Hematology,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA
7781491,ANNALS OF HEPATOLOGY,1665-2681,1665-2681,Gastroenterology & Hepatology,ELSEVIER ESPANA,"CALLE DE ZURBANO, 76-4TH FLR LEFT, MADRID, SPAIN, 28010",SPAIN
7781492,ANNALS OF HUMAN BIOLOGY,0301-4460,1464-5033,"Biology ; Public, Environmental & Occupational Health",TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",ENGLAND
7781493,ANNALS OF HUMAN GENETICS,0003-4800,1469-1809,Genetics & Heredity,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7781494,ANNALS OF INDIAN ACADEMY OF NEUROLOGY,0972-2327,1998-3549,Clinical Neurology,WOLTERS KLUWER MEDKNOW PUBLICATIONS,"WOLTERS KLUWER INDIA PVT LTD , A-202, 2ND FLR, QUBE, C T S  NO 1498A-2 VILLAGE MAROL, ANDHERI EAST, MUMBAI, India, Maharashtra, 400059",INDIA
7781495,ANNALS OF INTENSIVE CARE,2110-5820,2110-5820,Critical Care Medicine,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",ENGLAND
7781496,ANNALS OF INTERNAL MEDICINE,0003-4819,1539-3704,"Medicine, General & Internal",AMER COLL PHYSICIANS,"INDEPENDENCE MALL WEST 6TH AND RACE ST, PHILADELPHIA, United States, PA, 19106-1572",USA
7781497,ANNALS OF LABORATORY MEDICINE,2234-3806,2234-3814,Medical Laboratory Technology,KOREAN SOC LABORATORY MEDICINE,"A505-ASTERIUM SEOUL, 372 HANGANG-DAERO, YONGSAN-GU, SEOUL, SOUTH KOREA, 04323",SOUTH KOREA
7781498,ANNALS OF MATHEMATICS,0003-486X,1939-8980,Mathematics,"PRINCETON UNIV, DEPT MATHEMATICS","311 Fine Hall, Washington Road, PRINCETON, United States, NJ, 08544",USA
7781499,ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,1012-2443,1573-7470,"Computer Science, Artificial Intelligence ; Mathematics, Applied",SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",NETHERLANDS
7781500,ANNALS OF MEDICINE,0785-3890,1365-2060,"Medicine, General & Internal",TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",ENGLAND
7781501,ANNALS OF MICROBIOLOGY,1590-4261,1869-2044,Biotechnology & Applied Microbiology ; Microbiology,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",USA
7781502,ANNALS OF NEUROLOGY,0364-5134,1531-8249,Clinical Neurology ; Neurosciences,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7781503,ANNALS OF NONINVASIVE ELECTROCARDIOLOGY,1082-720X,1542-474X,Cardiac & Cardiovascular System,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7781504,ANNALS OF NUCLEAR ENERGY,0306-4549,1873-2100,Nuclear Science & Technology,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",ENGLAND
7781505,ANNALS OF NUCLEAR MEDICINE,0914-7187,1864-6433,"Radiology, Nuclear Medicine & Medical Imaging",SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA
7781506,ANNALS OF NUTRITION AND METABOLISM,0250-6807,1421-9697,Endocrinology & Metabolism ; Nutrition & Dietetics,KARGER,"ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009",SWITZERLAND
7781507,ANNALS OF ONCOLOGY,0923-7534,1569-8041,Oncology,ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",ENGLAND
7781508,ANNALS OF OPERATIONS RESEARCH,0254-5330,1572-9338,Operations Research & Management Science,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",NETHERLANDS
7781509,ANNALS OF OTOLOGY RHINOLOGY AND LARYNGOLOGY,0003-4894,1943-572X,Otorhinolaryngology,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",USA
7781510,ANNALS OF PDE,2524-5317,2199-2576,"Mathematics ; Physics, Mathematical",SPRINGERNATURE,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",ENGLAND
7781511,ANNALS OF PHARMACOTHERAPY,1060-0280,1542-6270,Pharmacology & Pharmacy,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",USA
7781512,ANNALS OF PHYSICAL AND REHABILITATION MEDICINE,1877-0657,1877-0665,Rehabilitation,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,"65 RUE CAMILLE DESMOULINS, CS50083, ISSY-LES-MOULINEAUX, FRANCE, 92442",FRANCE
7781513,ANNALS OF PHYSICS,0003-4916,1096-035X,"Physics, Multidisciplinary",ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",USA
7781514,ANNALS OF PLASTIC SURGERY,0148-7043,1536-3708,Surgery,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",USA
7781515,ANNALS OF PROBABILITY,0091-1798,2168-894X,Statistics & Probability,INST MATHEMATICAL STATISTICS-IMS,"3163 SOMERSET DR, CLEVELAND, Usa, OH, 44122",USA
7781516,ANNALS OF PURE AND APPLIED LOGIC,0168-0072,1873-2461,"Mathematics, Applied ; Mathematics ; Logic",ELSEVIER,"RADARWEG 29, AMSTERDAM, Netherlands, 1043 NX",NETHERLANDS
7781517,ANNALS OF SAUDI MEDICINE,0256-4947,1319-9226,"Medicine, General & Internal",K FAISAL SPEC HOSP RES CENTRE,"PUBLICATIONS OFFICE PO BOX 3354, RIYADH, SAUDI ARABIA, 11211",SAUDI ARABIA
7781518,ANNALS OF SCIENCE,0003-3790,1464-505X,History & Philosophy Of Science,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",ENGLAND
7781519,ANNALS OF STATISTICS,0090-5364,2168-8966,Statistics & Probability,INST MATHEMATICAL STATISTICS-IMS,"3163 SOMERSET DR, CLEVELAND, Usa, OH, 44122",USA
7781520,ANNALS OF SURGERY,0003-4932,1528-1140,Surgery,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",USA
7781521,ANNALS OF SURGICAL ONCOLOGY,1068-9265,1534-4681,Oncology ; Surgery,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA
7781522,ANNALS OF SURGICAL TREATMENT AND RESEARCH,2288-6575,2288-6796,Surgery,KOREAN SURGICAL SOCIETY,"3304HO, 101 DONG, BROWNSTONE SEOUL, 335, JUNGMIN-DONG, JUNG-GU, SEOUL, SOUTH KOREA, 100-859",SOUTH KOREA
7781523,ANNALS OF TELECOMMUNICATIONS,0003-4347,1958-9395,Telecommunications,SPRINGER INT PUBL AG,"GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330",SWITZERLAND
7781524,ANNALS OF THE AMERICAN THORACIC SOCIETY,1546-3222,2325-6621,Respiratory System,AMER THORACIC SOC,"25 BROADWAY, 18 FL, NEW YORK, USA, NY, 10004",USA
7781525,ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,0013-8746,1938-2901,Entomology,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513",USA
7781526,ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS,0020-3157,1572-9052,Statistics & Probability,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121",GERMANY
7781527,ANNALS OF THE MISSOURI BOTANICAL GARDEN,0026-6493,2162-4372,Plant Sciences,MISSOURI BOTANICAL GARDEN,"4344 Shaw Blvd, ST LOUIS, Usa, MO, 63110",USA
7781528,ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,0077-8923,1749-6632,Multidisciplinary Sciences,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7781529,ANNALS OF THE RHEUMATIC DISEASES,0003-4967,1468-2060,Rheumatology,BMJ PUBLISHING GROUP,"BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON, ENGLAND, WC1H 9JR",ENGLAND
7781530,ANNALS OF THE ROYAL COLLEGE OF SURGEONS OF ENGLAND,0035-8843,1478-7083,Surgery,ROYAL COLL SURGEONS ENGLAND,"35-43 LINCOLN'S INN FIELDS, LONDON, ENGLAND, WC2A 3PN",ENGLAND
7781531,ANNALS OF THORACIC AND CARDIOVASCULAR SURGERY,1341-1098,2186-1005,Cardiac & Cardiovascular System ; Surgery,INT ACAD PUBLISHING CO LTD,"Academy center, 358-5 yamabukicho, shinjuku-ku, Tokyo, Japan, 162-0801",JAPAN
7781532,ANNALS OF THORACIC MEDICINE,1817-1737,1998-3557,Cardiac & Cardiovascular System ; Respiratory System,WOLTERS KLUWER MEDKNOW PUBLICATIONS,"WOLTERS KLUWER INDIA PVT LTD , A-202, 2ND FLR, QUBE, C T S  NO 1498A-2 VILLAGE MAROL, ANDHERI EAST, MUMBAI, India, Maharashtra, 400059",INDIA
7781533,ANNALS OF THORACIC SURGERY,0003-4975,1552-6259,Cardiac & Cardiovascular System ; Respiratory System ; Surgery,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",USA
7781534,ANNALS OF TRANSPLANTATION,1425-9524,2329-0358,Surgery ; Transplantation,"INT SCIENTIFIC INFORMATION, INC","150 BROADHOLLOW RD, STE 114, MELVILLE, USA, NY, 11747",USA
7781535,ANNALS OF VASCULAR SURGERY,0890-5096,1615-5947,Surgery ; Peripheral Vascular Diseases,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",USA
7781536,ANNALS OF WORK EXPOSURES AND HEALTH,2398-7308,2398-7316,"Public, Environmental & Occupational Health",OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",ENGLAND
7781537,ANNUAL REVIEW OF ANALYTICAL CHEMISTRY,1936-1327,1936-1335,"Chemistry, Analytical ; Spectroscopy",ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
7781538,ANNUAL REVIEW OF ANIMAL BIOSCIENCES,2165-8102,2165-8110,"Agriculture, Dairy & Animal Science ; Biotechnology & Applied Microbiology ; Veterinary Sciences ; Zoology",ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
7781539,ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS,0066-4146,1545-4282,Astronomy & Astrophysics,ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
7781540,ANNUAL REVIEW OF BIOCHEMISTRY,0066-4154,1545-4509,Biochemistry & Molecular Biology,ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
7781541,ANNUAL REVIEW OF BIOMEDICAL ENGINEERING,1523-9829,1545-4274,"Engineering, Biomedical",ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
7781542,ANNUAL REVIEW OF BIOPHYSICS,1936-122X,1936-1238,Biophysics,ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
7781543,ANNUAL REVIEW OF CANCER BIOLOGY,2472-3428,2472-3428,Oncology,ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
7781544,ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY,1081-0706,1530-8995,Cell Biology ; Developmental Biology,ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
7781545,ANNUAL REVIEW OF CHEMICAL AND BIOMOLECULAR ENGINEERING,1947-5438,1947-5446,"Chemistry, Applied ; Engineering, Chemical",ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
7781546,ANNUAL REVIEW OF CLINICAL PSYCHOLOGY,1548-5943,1548-5951,Psychology,ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
7781547,ANNUAL REVIEW OF CONDENSED MATTER PHYSICS,1947-5454,1947-5462,"Physics, Condensed Matter",ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
7781548,ANNUAL REVIEW OF CONTROL ROBOTICS AND AUTONOMOUS SYSTEMS,,2573-5144,Automation & Control Systems ; Robotics,ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
7781549,ANNUAL REVIEW OF EARTH AND PLANETARY SCIENCES,0084-6597,1545-4495,"Astronomy & Astrophysics ; Geosciences, Multidisciplinary",ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
7781550,ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS,1543-592X,1545-2069,Ecology ; Evolutionary Biology,ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
7781551,ANNUAL REVIEW OF ENTOMOLOGY,0066-4170,1545-4487,Entomology,ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
7781552,ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES,1543-5938,1545-2050,Environmental Sciences,ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
7781553,ANNUAL REVIEW OF FLUID MECHANICS,0066-4189,1545-4479,"Mechanics ; Physics, Fluids & Plasmas",ANNUAL REVIEWS,"4139 EL CAMINO WAY, PO BOX 10139, PALO ALTO, USA, CA, 94303-0139",USA
